Id,Barcode,Item Name,Category,Supplier ID,Cost Price,Unit Price,Tax 1 Name,Tax 1 Percent,Tax 2 Name,Tax 2 Percent,Reorder Level,Description,Allow Alt Description,Item has Serial Number,Image,HSN,location_stock,location_stock2
,,KIRKLAND NAPROXENO 220MG 40 CAP,Vitaminas,,2.5,5,,,,,5,0,,,,,4,
,,KIRKLAND ACETAMINOPHEN PM 500MG 35 CAP ,Vitaminas,,2.5,5,,,,,5,0,,,,,3,
,,KIRKLAND ACETAMINOPHEN 500MG 50 CAP ,Vitaminas,,2.5,5,,,,,5,0,,,,,4,
,,SUN DOWN CARDOLECHOZO(MILK THISTLE) 240MG 50 CAP,Vitaminas,,4,8,,,,,5,0,,,,,3,
,,PURITANS GINKGO BILOBA 60MG 30  CAP,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,SOLGAR MAGNESIUM CON VIT B6 50 CAP,Vitaminas,,2.5,5,,,,,5,0,,,,,4,
,,BEST NATURAL ZINC 50 MG 40 CAP ,Vitaminas,,2.5,5,,,,,5,0,,,,,3,
,,SWASON ZINC GLUCONATO 30 MG 50 CAP ,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,SPRING VALLEY ZINC 50 MG 50 CAP,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,SPRING VALLEY POTASIO 99MG 50 CAP,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,SPRING VALLEY MAGNESIO 250 MG 50 CAP,Vitaminas,,2.5,5,,,,,5,0,,,,,4,
,,SPRING VALLEY VITAMINA E 400IU 50 CAP,Vitaminas,,2.5,5,,,,,5,0,,,,,4,
,,PURITANS BETA CAROTENO 50 CAP ,Vitaminas,,2.5,5,,,,,5,0,,,,,4,
,,SPRING VALLEY SAW PALMETTO 50 CAP,Vitaminas,,4,8,,,,,5,0,,,,,3,
,,SPRING VALLEY MAGNESIO 400MG 50 CAP,Vitaminas,,4,8,,,,,5,0,,,,,3,
,,SUNDOWN MAGNESIO 500MG 60 CAP,Vitaminas,,4,8,,,,,5,0,,,,,3,
,,SUNDOWN CALCIUM MAGNESIO Y ZINC  50 CAP,Vitaminas,,4,8,,,,,5,0,,,,,3,
,,"BEST NATURAL DIENTE DE LEON, DANDELION ROOT 50 CAP",Vitaminas,,4,8,,,,,5,0,,,,,3,
,,PURITANS COLON CLEAN 50 CAP,Vitaminas,,6,12,,,,,5,0,,,,,3,
,,MASON NATURAL GLUCOSAMINA CHONDROITRIN 50 CAP,Vitaminas,,4,8,,,,,5,0,,,,,4,
,,NOVA ECHINACEA GOLDENSEA 50 CAP,Vitaminas,,3,6,,,,,5,0,,,,,3,
,,PRING VALLEY LECITINA DE GIRASOL 30 CAP,Vitaminas,,3.5,7,,,,,5,0,,,,,2,
,,FISIONATURALS. OMEGA 3,Vitaminas,,5,10,,,,,5,1000 MG 30 CAPSULAS,,,,,2,
,,FISIONATURALS. CHANCA PIEDRA,Vitaminas,,4,8,,,,,5,500 MG 60 CAPSULAS ,,,,,2,
,,FISIONATURALS GINKGO BILOBA,Vitaminas,,4,8,,,,,5,500 MG 6O CAPSULAS,,,,,2,
,,CENTRUM ADUTO,Vitaminas,,6,12,,,,,5,100 CAPSULAS ,,,,,2,
,,CENTRUM WOMEN,Vitaminas,,7.5,15,,,,,5,65 CAPSULAS ,,,,,2,
,,CRANBERRY ,Vitaminas,,12.5,25,,,,,5,300 CAPSULAS ,,,,,1,
,,PHINATURALS. CITRATO DE MAGNESIO,Vitaminas,,7,14,,,,,5,400 MG 60 CAPSULAS,,,,,2,
,,PHINATURALS. CITRATO DE MAGNESIO,Vitaminas,,4,8,,,,,5,400 MG 30 CAPSULAS,,,,,3,
,,SWANSON. CITRATO DE POTASIO,Vitaminas,,3,6,,,,,5,275 MG 40 CAPSULAS,,,,,1,
,,KIRKLAND. OMEGA 3,Vitaminas,,4,8,,,,,5,1000 MG 50 CAPSULAS,,,,,4,
,,BEST NATURALS. UñA DE GATO,Vitaminas,,4,8,,,,,5,500 MG 40 CAPSULAS,,,,,4,
,,BEST NATURALS. DIENTE DE LEON,Vitaminas,,4,8,,,,,5,520 MG 50 CAPSULAS,,,,,3,
,,SPRING VALLEY. LECITINA DE GIRASOL,Vitaminas,,3.5,7,,,,,5,1200 MG 30 SOFTGELS,,,,,2,
,,QUERCETIN,Vitaminas,,6,12,,,,,5,500 MG 50 CAPSULAS,,,,,4,
,,CLORURO DE MAGNESIO,Vitaminas,,4,8,,,,,5,1000 MG 30 CAPSULAS,,,,,1,
,,SPRING VALLEY. SUPER VITAMINA B-COMPLEX,Vitaminas,,2.5,5,,,,,5,50 TABLETAS,,,,,3,
,,MAGNESIO CON VITAMINA B6,Vitaminas,,2.5,5,,,,,5,50 TABLETAS,,,,,4,
,,CEREBRON PLUS,Vitaminas,,2.5,5,,,,,5,50 CAPSULAS,,,,,2,
,,REUMADAUL,Vitaminas,,3.5,7,,,,,5,50 CAPSULAS,,,,,2,
,,FORCE HUMAINE,Vitaminas,,3.5,7,,,,,5,50 CAPSULAS,,,,,2,
,,VIHOM. TROMBOX 30ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,,FOSFORO OLIGOVIHOM,Vitaminas,,3,6,,,,,5,0,,,,,1,
,,CANCE NON NACIONAL,Vitaminas,,3,6,,,,,5,30 CAP,,,,,2,
,,ESSENTIAL. 5-HTP 30ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,,"CALLO OUT. (QUERATOLICO, ACIDO SALICILICO)",Vitaminas,,2,4,,,,,5,0,,,,,1,
,,ADELGAZANTE EL VERGEL,Vitaminas,,4,8,,,,,5,90 CAP,,,,,2,
,,MUERDAGO,Vitaminas,,3.5,7,,,,,5,500 MG 50 CAPSULAS,,,,,1,
,,EQUATE. IBUPROFENO,Vitaminas,,5,10,,,,,5,200 MG 250 TABLETAS,,,,,3,
,,EQUATE. ASPIRINAS,Vitaminas,,3,6,,,,,5,81 MG 250 CAPSULAS,,,,,5,
,,EQUATE. ASPIRINAS,Vitaminas,,2,4,,,,,5,81 MG 120 CAPSULAS,,,,,1,
,,KIRKLAND. ASPIRINAS,Vitaminas,,4,8,,,,,5,81 MG 365 CAPSULAS,,,,,2,
,,EQUATE. EPSOM SALT (SULFATO DE MAGNESIO),Vitaminas,,0.75,1.5,,,,,5,0,,,,,12,
,,VITACEREBRINA ,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,CEREBRON ,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,MEMORINA (RECONSTITUYENTE CEREBRAL),Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,N-FITINA,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,PARAISO (EXPETORANTE-ANTIASMATICO,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,BERRO MORADO,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,SANATORE. EXTRACTO DE MALTA FERROSO,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,AMIGDALITIS,Vitaminas,,3,6,,,,,5,0,,,,,2,
,,DIURETICO DDEPROSTAL,Vitaminas,,2,4,,,,,5,0,,,,,5,
,,MIEL + EUCALIPTO,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,ANTIASMATICO NUEVA ERA 777,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,,ASMI-PLUS (ANTIASMATICO),Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,,JABON DE GLICERINA,Vitaminas,,1.5,3,,,,,5,55 G,,,,,6,
